 Dist. Downslope Elevation Soil Loss

   OFE   Year   (meters)   (meters)  (kg/m**2)
    1    6     55.011     37.832      0.000
    1    6     56.908     37.186      0.000
    1    6     58.805     36.538      0.000
    1    6     60.702     35.892      0.000
    1    6     62.599     35.249      0.000
    1    6     64.496     34.609      0.000
    1    6     66.393     33.973      0.000
    1    6     68.290     33.340      0.000
    1    6     70.187     32.711      0.000
    1    6     72.083     32.085      0.000
    1    6     73.980     31.463      0.000
    1    6     75.877     30.845      0.000
    1    6     77.774     30.233      0.000
    1    6     79.671     29.625      0.000
    1    6     81.568     29.023      0.000
    1    6     83.465     28.425      0.000
    1    6     85.362     27.833      0.000
    1    6     87.259     27.245      0.000
    1    6     89.156     26.659      0.000
    1    6     91.053     26.069      0.000
    1    6     92.950     25.474      0.000
    1    6     94.847     24.875      0.000
    1    6     96.744     24.272      0.000
    1    6     98.641     23.665      0.000
    1    6    100.537     23.053      0.000
    1    6    102.434     22.437      0.000
    1    6    104.331     21.820      0.000
    1    6    106.228     21.206      0.000
    1    6    108.125     20.594      0.000
    1    6    110.022     19.984      0.000
    1    6    111.919     19.376      0.000
    1    6    113.816     18.770      0.000
    1    6    115.713     18.166      0.000
    1    6    117.610     17.566      0.000
    1    6    119.507     16.979      0.000
    1    6    121.404     16.407      0.000
    1    6    123.301     15.851      0.000
    1    6    125.198     15.311      0.000
    1    6    127.094     14.786      0.000
    1    6    128.991     14.277      0.000
    1    6    130.888     13.783      0.000
    1    6    132.785     13.302      0.000
    1    6    134.682     12.829      0.000
    1    6    136.579     12.362      0.000
    1    6    138.476     11.902      0.000
    1    6    140.373     11.449      0.000
    1    6    142.270     11.003      0.000
    1    6    144.167     10.564      0.000
    1    6    146.064     10.132      0.000
    1    6    147.961      9.702      0.000
    1    6    149.858      9.269      0.000
    1    6    151.755      8.835      0.000
    1    6    153.652      8.399      0.000
    1    6    155.548      7.960      0.000
    1    6    157.445      7.520      0.000
    1    6    159.342      7.078      0.000
    1    6    161.239      6.634      0.000
    1    6    163.136      6.190      0.000
    1    6    165.033      5.746      0.000
    1    6    166.930      5.302      0.000
    1    6    168.827      4.859      0.000
    1    6    170.724      4.416      0.000
    1    6    172.621      3.974      0.000
    1    6    174.518      3.532      0.000
    1    6    176.415      3.090      0.000
    1    6    178.312      2.648      0.000
    1    6    180.209      2.207      0.000
    1    6    182.106      1.765      0.000
    1    6    184.002      1.324      0.000
    1    6    185.899      0.882      0.000
    1    6    187.796      0.441      0.000
    1    6    189.693      0.000      0.000
    1    7      1.897     55.296      0.000
    1    7      3.794     54.497      0.000
    1    7      5.691     53.721      0.000
    1    7      7.588     52.966      0.000
    1    7      9.485     52.234      0.000
    1    7     11.382     51.523      0.000
    1    7     13.279     50.834      0.000
    1    7     15.175     50.168      0.000
    1    7     17.072     49.523      0.000
    1    7     18.969     48.901      0.000
    1    7     20.866     48.301      0.000
    1    7     22.763     47.722      0.000
    1    7     24.660     47.166      0.000
    1    7     26.557     46.632      0.000
    1    7     28.454     46.120      0.000
    1    7     30.351     45.623      0.000
    1    7     32.248     45.110      0.000
    1    7     34.145     44.579      0.000
    1    7     36.042     44.031      0.000
    1    7     37.939     43.464      0.000
    1    7     39.836     42.880      0.000
    1    7     41.733     42.277      0.000
    1    7     43.629     41.657      0.000
    1    7     45.526     41.025      0.000
    1    7     47.423     40.391      0.000
    1    7     49.320     39.755      0.000
    1    7     51.217     39.116      0.000
    1    7     53.114     38.475      0.000
    1    7     55.011     37.832      0.000
    1    7     56.908     37.186      0.000
    1    7     58.805     36.538      0.000
    1    7     60.702     35.892      0.000
    1    7     62.599     35.249      0.000
    1    7     64.496     34.609      0.000
    1    7     66.393     33.973      0.000
    1    7     68.290     33.340      0.000
    1    7     70.187     32.711      0.000
    1    7     72.083     32.085      0.000
    1    7     73.980     31.463      0.000
    1    7     75.877     30.845      0.000
    1    7     77.774     30.233      0.000
    1    7     79.671     29.625      0.000
    1    7     81.568     29.023      0.000
    1    7     83.465     28.425      0.000
    1    7     85.362     27.833      0.000
    1    7     87.259     27.245      0.000
    1    7     89.156     26.659      0.000
    1    7     91.053     26.069      0.000
    1    7     92.950     25.474      0.000
    1    7     94.847     24.875      0.000
    1    7     96.744     24.272      0.000
    1    7     98.641     23.665      0.000
    1    7    100.537     23.053      0.000
    1    7    102.434     22.437      0.000
    1    7    104.331     21.820      0.000
    1    7    106.228     21.206      0.000
    1    7    108.125     20.594      0.000
    1    7    110.022     19.984      0.000
    1    7    111.919     19.376      0.000
    1    7    113.816     18.770      0.000
    1    7    115.713     18.166      0.000
    1    7    117.610     17.566      0.000
    1    7    119.507     16.979      0.000
    1    7    121.404     16.407      0.000
    1    7    123.301     15.851      0.000
    1    7    125.198     15.311      0.000
    1    7    127.094     14.786      0.000
    1    7    128.991     14.277      0.000
    1    7    130.888     13.783      0.000
    1    7    132.785     13.302      0.000
    1    7    134.682     12.829      0.000
    1    7    136.579     12.362      0.000
    1    7    138.476     11.902      0.000
    1    7    140.373     11.449      0.000
    1    7    142.270     11.003      0.000
    1    7    144.167     10.564      0.000
    1    7    146.064     10.132      0.000
    1    7    147.961      9.702      0.000
    1    7    149.858      9.269      0.000
    1    7    151.755      8.835      0.000
    1    7    153.652      8.399      0.000
    1    7    155.548      7.960      0.000
    1    7    157.445      7.520      0.000
    1    7    159.342      7.078      0.000
    1    7    161.239      6.634      0.000
    1    7    163.136      6.190      0.000
    1    7    165.033      5.746      0.000
    1    7    166.930      5.302      0.000
    1    7    168.827      4.859      0.000
    1    7    170.724      4.416      0.000
    1    7    172.621      3.974      0.000
    1    7    174.518      3.532      0.000
    1    7    176.415      3.090      0.000
    1    7    178.312      2.648      0.000
    1    7    180.209      2.207      0.000
    1    7    182.106      1.765      0.000
    1    7    184.002      1.324      0.000
    1    7    185.899      0.882      0.000
    1    7    187.796      0.441      0.000
    1    7    189.693      0.000      0.000
    1    8      1.897     55.296      0.000
    1    8      3.794     54.497      0.000
    1    8      5.691     53.721      0.000
    1    8      7.588     52.966      0.000
    1    8      9.485     52.234      0.000
    1    8     11.382     51.523      0.000
    1    8     13.279     50.834      0.000
    1    8     15.175     50.168      0.000
    1    8     17.072     49.523      0.000
    1    8     18.969     48.901      0.000
    1    8     20.866     48.301      0.000
    1    8     22.763     47.722      0.000
    1    8     24.660     47.166      0.000
    1    8     26.557     46.632      0.000
    1    8     28.454     46.120      0.000
    1    8     30.351     45.623      0.000
    1    8     32.248     45.110      0.000
    1    8     34.145     44.579      0.000
    1    8     36.042     44.031      0.000
    1    8     37.939     43.464      0.000
    1    8     39.836     42.880      0.000
    1    8     41.733     42.277      0.000
    1    8     43.629     41.657      0.000
    1    8     45.526     41.025      0.000
    1    8     47.423     40.391      0.000
    1    8     49.320     39.755      0.000
    1    8     51.217     39.116      0.000
    1    8     53.114     38.475      0.000
    1    8     55.011     37.832      0.000
    1    8     56.908     37.186      0.000
    1    8     58.805     36.538      0.000
    1    8     60.702     35.892      0.000
    1    8     62.599     35.249      0.000
    1    8     64.496     34.609      0.000
    1    8     66.393     33.973      0.000
    1    8     68.290     33.340      0.000
    1    8     70.187     32.711      0.000
    1    8     72.083     32.085      0.000
    1    8     73.980     31.463      0.000
    1    8     75.877     30.845      0.000
    1    8     77.774     30.233      0.000
    1    8     79.671     29.625      0.000
    1    8     81.568     29.023      0.000
    1    8     83.465     28.425      0.000
    1    8     85.362     27.833      0.000
    1    8     87.259     27.245      0.000
    1    8     89.156     26.659      0.000
    1    8     91.053     26.069      0.000
    1    8     92.950     25.474      0.000
    1    8     94.847     24.875      0.000
    1    8     96.744     24.272      0.000
    1    8     98.641     23.665      0.000
    1    8    100.537     23.053      0.000
    1    8    102.434     22.437      0.000
    1    8    104.331     21.820      0.000
    1    8    106.228     21.206      0.000
    1    8    108.125     20.594      0.000
    1    8    110.022     19.984      0.000
    1    8    111.919     19.376      0.000
    1    8    113.816     18.770      0.000
    1    8    115.713     18.166      0.000
    1    8    117.610     17.566      0.000
    1    8    119.507     16.979      0.000
    1    8    121.404     16.407      0.000
    1    8    123.301     15.851      0.000
    1    8    125.198     15.311      0.000
    1    8    127.094     14.786      0.000
    1    8    128.991     14.277      0.000
    1    8    130.888     13.783      0.000
    1    8    132.785     13.302      0.000
    1    8    134.682     12.829      0.000
    1    8    136.579     12.362      0.000
    1    8    138.476     11.902      0.000
    1    8    140.373     11.449      0.000
    1    8    142.270     11.003      0.000
    1    8    144.167     10.564      0.000
    1    8    146.064     10.132      0.000
    1    8    147.961      9.702      0.000
    1    8    149.858      9.269      0.000
    1    8    151.755      8.835      0.000
    1    8    153.652      8.399      0.000
    1    8    155.548      7.960      0.000
    1    8    157.445      7.520      0.000
    1    8    159.342      7.078      0.000
    1    8    161.239      6.634      0.000
    1    8    163.136      6.190      0.000
    1    8    165.033      5.746      0.000
    1    8    166.930      5.302      0.000
    1    8    168.827      4.859      0.000
    1    8    170.724      4.416      0.000
    1    8    172.621      3.974      0.000
    1    8    174.518      3.532      0.000
    1    8    176.415      3.090      0.000
    1    8    178.312      2.648      0.000
    1    8    180.209      2.207      0.000
    1    8    182.106      1.765      0.000
    1    8    184.002      1.324      0.000
    1    8    185.899      0.882      0.000
    1    8    187.796      0.441      0.000
    1    8    189.693      0.000      0.000
    1    9      1.897     55.296      0.000
    1    9      3.794     54.497      0.000
    1    9      5.691     53.721      0.000
    1    9      7.588     52.966      0.000
    1    9      9.485     52.234      0.000
    1    9     11.382     51.523      0.000
    1    9     13.279     50.834      0.000
    1    9     15.175     50.168      0.000
    1    9     17.072     49.523      0.000
    1    9     18.969     48.901      0.000
    1    9     20.866     48.301      0.000
    1    9     22.763     47.722      0.000
    1    9     24.660     47.166      0.000
    1    9     26.557     46.632      0.000
    1    9     28.454     46.120      0.000
    1    9     30.351     45.623      0.000
    1    9     32.248     45.110      0.000
